id,name,locations,main_generation,pokedexes
1,kanto,"celadon-city, cerulean-city, cinnabar-island, digletts-cave, fuchsia-city, mt-moon, pallet-town, rock-tunnel, kanto-route-1, kanto-route-10, kanto-route-11, kanto-route-12, kanto-route-13, kanto-route-14, kanto-route-15, kanto-route-16, kanto-route-17, kanto-route-18, kanto-sea-route-19, kanto-route-2, kanto-sea-route-20, kanto-sea-route-21, kanto-route-22, kanto-route-24, kanto-route-25, kanto-route-26, kanto-route-27, kanto-route-28, kanto-route-3, kanto-route-4, kanto-route-5, kanto-route-6, kanto-route-7, kanto-route-8, kanto-route-9, seafoam-islands, cerulean-cave, vermilion-city, kanto-victory-road-1, viridian-city, viridian-forest, kanto-route-23, power-plant, kanto-victory-road-2, pokemon-tower, pokemon-mansion, kanto-safari-zone, pewter-city, lavender-town, indigo-plateau, saffron-city, monean-chamber, liptoo-chamber, weepth-chamber, dilford-chamber, scufib-chamber, rixy-chamber, viapos-chamber, ss-anne, mt-ember, berry-forest, icefall-cave, pattern-bush, lost-cave, kindle-road, treasure-beach, cape-brink, bond-bridge, three-isle-port, resort-gorgeous, water-labyrinth, five-isle-meadow, memorial-pillar, outcast-island, green-path, water-path, ruin-valley, trainer-tower, canyon-entrance, sevault-canyon, tanoby-ruins, one-island, four-island, five-island, kanto-altering-cave, roaming-kanto, two-island, three-island, three-isle-path, six-island, seven-island, birth-island, navel-rock",generation-i,"kanto, letsgo-kanto"
2,johto,"blackthorn-city, burned-tower, cherrygrove-city, cianwood-city, dark-cave, dragons-den, ecruteak-city, ice-path, ilex-forest, lake-of-rage, mt-mortar, mt-silver, national-park, new-bark-town, olivine-city, johto-route-29, johto-route-30, johto-route-31, johto-route-32, johto-route-33, johto-route-34, johto-route-35, johto-route-36, johto-route-37, johto-route-38, johto-route-39, johto-sea-route-40, johto-sea-route-41, johto-route-42, johto-route-43, johto-route-44, johto-route-45, johto-route-46, johto-route-47, johto-route-48, ruins-of-alph, slowpoke-well, sprout-tower, bell-tower, tohjo-falls, union-cave, unknown-all-poliwag, unknown-all-rattata, unknown-all-bugs, violet-city, whirl-islands, azalea-town, goldenrod-city, mahogany-town, johto-lighthouse, team-rocket-hq, goldenrod-tunnel, mt-silver-cave, pokeathlon-dome, ss-aqua, safari-zone-gate, cliff-cave, frontier-access, bellchime-trail, sinjoh-ruins, embedded-tower, pokewalker, cliff-edge-gate, radio-tower, roaming-johto, johto-safari-zone",generation-ii,"original-johto, updated-johto"
3,hoenn,"petalburg-city, slateport-city, lilycove-city, mossdeep-city, sootopolis-city, ever-grande-city, meteor-falls, rusturf-tunnel, granite-cave, petalburg-woods, jagged-pass, fiery-path, mt-pyre, seafloor-cavern, cave-of-origin, hoenn-victory-road, shoal-cave, new-mauville, abandoned-ship, sky-pillar, hoenn-route-101, hoenn-route-102, hoenn-route-103, hoenn-route-104, hoenn-route-105, hoenn-route-106, hoenn-route-107, hoenn-route-108, hoenn-route-109, hoenn-route-110, hoenn-route-111, hoenn-route-112, hoenn-route-113, hoenn-route-114, hoenn-route-115, hoenn-route-116, hoenn-route-117, hoenn-route-118, hoenn-route-119, hoenn-route-120, hoenn-route-121, hoenn-route-122, hoenn-route-123, hoenn-route-124, hoenn-route-125, hoenn-route-126, hoenn-route-127, hoenn-route-128, hoenn-route-129, hoenn-route-130, hoenn-route-131, hoenn-route-132, hoenn-route-133, hoenn-route-134, hoenn-safari-zone, dewford-town, pacifidlog-town, magma-hideout, mirage-tower, desert-underpass, artisan-cave, hoenn-altering-cave, littleroot-town, oldale-town, lavaridge-town, fallarbor-town, verdanturf-town, mauville-city, rustboro-city, fortree-city, underwater, mt-chimney, mirage-island, southern-island, sealed-chamber, scorched-slab, island-cave, desert-ruins, ancient-tomb, inside-of-truck, secret-base, hoenn-battle-tower, hoenn-pokemon-league, team-aqua-hideout, sea-mauville, team-magma-hideout, battle-resort, ss-tidal, mirage-forest, mirage-cave, mirage-mountain, trackless-forest, pathless-plain, nameless-cavern, fabled-cave, gnarled-den, crescent-isle, secret-islet, soaring-in-the-sky, secret-shore, secret-meadow, roaming-hoenn, terra-cave, marine-cave, faraway-island, hoenn-battle-frontier, mossdeep-space-center",generation-iii,"hoenn, updated-hoenn"
4,sinnoh,"canalave-city, eterna-city, pastoria-city, sunyshore-city, sinnoh-pokemon-league, oreburgh-mine, valley-windworks, eterna-forest, fuego-ironworks, mt-coronet, great-marsh, solaceon-ruins, sinnoh-victory-road, ravaged-path, oreburgh-gate, stark-mountain, spring-path, turnback-cave, snowpoint-temple, wayward-cave, ruin-maniac-cave, trophy-garden, iron-island, old-chateau, lake-verity, lake-valor, lake-acuity, valor-lakefront, acuity-lakefront, sinnoh-route-201, sinnoh-route-202, sinnoh-route-203, sinnoh-route-204, sinnoh-route-205, sinnoh-route-206, sinnoh-route-207, sinnoh-route-208, sinnoh-route-209, lost-tower, sinnoh-route-210, sinnoh-route-211, sinnoh-route-212, sinnoh-route-213, sinnoh-route-214, sinnoh-route-215, sinnoh-route-216, sinnoh-route-217, sinnoh-route-218, sinnoh-route-219, sinnoh-route-221, sinnoh-route-222, sinnoh-route-224, sinnoh-route-225, sinnoh-route-227, sinnoh-route-228, sinnoh-route-229, twinleaf-town, celestic-town, resort-area, sinnoh-sea-route-220, sinnoh-sea-route-223, sinnoh-sea-route-226, sinnoh-sea-route-230, sandgem-town, floaroma-town, solaceon-town, jubilife-city, oreburgh-city, hearthome-city, veilstone-city, snowpoint-city, spear-pillar, pal-park, amity-square, floaroma-meadow, fullmoon-island, sendoff-spring, flower-paradise, maniac-tunnel, galactic-hq, verity-lakefront, newmoon-island, sinnoh-battle-tower, fight-area, survival-area, seabreak-path, sinnoh-hall-of-origin-1, sinnoh-hall-of-origin-2, verity-cavern, valor-cavern, acuity-cavern, jubilife-tv, poketch-co, gts, trainers-school, mining-museum, sinnoh-flower-shop, sinnoh-cycle-shop, contest-hall, poffin-house, sinnoh-foreign-building, pokemon-day-care, veilstone-store, sinnoh-game-corner, canalave-library, vista-lighthouse, sunyshore-market, footstep-house, sinnoh-cafe, grand-lake, sinnoh-restaurant, battle-park, battle-frontier, battle-factory, battle-castle, battle-arcade, battle-hall, distortion-world, sinnoh-global-terminal, sinnoh-villa, battleground, rotoms-room, tg-eterna-bldg, iron-ruins, iceberg-ruins, rock-peak-ruins, roaming-sinnoh",generation-iv,"original-sinnoh, extended-sinnoh"
5,unova,"unova-mystery-zone, unova-faraway-place, nuvema-town, accumula-town, striaton-city, nacrene-city, castelia-city, nimbasa-city, driftveil-city, mistralton-city, icirrus-city, opelucid-city, unova-route-1, unova-route-2, unova-route-3, unova-route-4, unova-route-5, unova-route-6, unova-route-7, unova-route-8, unova-route-9, unova-route-10, unova-route-11, unova-route-12, unova-route-13, unova-route-14, unova-route-15, unova-route-16, unova-route-17, unova-route-18, dreamyard, pinwheel-forest, desert-resort, relic-castle, cold-storage, chargestone-cave, twist-mountain, dragonspiral-tower, unova-victory-road, lacunosa-town, undella-town, anville-town, unova-pokemon-league, ns-castle, royal-unova, gear-station, battle-subway, musical-theater, black-city, white-forest, unity-tower, wellspring-cave, mistralton-cave, rumination-field, celestial-tower, moor-of-icirrus, unova-shopping-mall, challengers-cave, poke-transfer-lab, giant-chasm, liberty-garden, p2-laboratory, skyarrow-bridge, driftveil-drawbridge, tubeline-bridge, village-bridge, marvelous-bridge, entralink, abundant-shrine, undella-bay, lostlorn-forest, trial-chamber, guidance-chamber, entree-forest, accumula-gate, undella-gate, nacrene-gate, castelia-gate, nimbasa-gate, opelucid-gate, black-gate, white-gate, bridge-gate, route-gate, abyssal-ruins, aspertia-city, virbank-city, humilau-city, pokestar-studios, join-avenue, floccesy-town, lentimas-town, unova-route-19, unova-route-20, unova-route-21, unova-route-22, unova-route-23, castelia-sewers, floccesy-ranch, virbank-complex, reversal-mountain, strange-house, unova-victory-road-2, plasma-frigate, relic-passage, clay-tunnel, white-treehollow, black-tower, seaside-cave, cave-of-being, hidden-grotto, marine-tube, virbank-gate, aspertia-gate, nature-sanctuary, medal-secretariat, underground-ruins, rocky-mountain-room, glacier-room, iron-room, pledge-grove, roaming-unova",generation-v,"original-unova, updated-unova"
6,kalos,"vaniville-town, kalos-route-1, vaniville-pathway, aquacorde-town, kalos-route-2, avance-trail, santalune-forest, kalos-route-3, ouvert-way, santalune-city, kalos-route-4, parterre-way, lumiose-city, prism-tower, lysandre-labs, kalos-route-5, versant-road, camphrier-town, shabboneau-castle, kalos-route-6, palais-lane, parfum-palace, kalos-route-7, rivière-walk, cyllage-city, kalos-route-8, muraille-coast, ambrette-town, kalos-route-9, spikes-passage, battle-chateau, kalos-route-10, menhir-trail, geosenge-town, kalos-route-11, miroir-way, reflection-cave, shalour-city, tower-of-mastery, kalos-route-12, fourrage-road, coumarine-city, kalos-route-13, lumiose-badlands, kalos-route-14, laverre-nature-trail, laverre-city, poke-ball-factory, kalos-route-15, brun-way, dendemille-town, kalos-route-16, melancolie-path, frost-cavern, kalos-route-17, mamoswine-road, anistar-city, kalos-route-18, vallee-etroite-way, couriway-town, kalos-route-19, grande-vallee-way, snowbelle-city, kalos-route-20, winding-woods, pokemon-village, kalos-route-21, dernière-way, kalos-route-22, detourner-way, kalos-victory-road, kalos-pokemon-league, kiloude-city, battle-maison, azure-bay, dendemille-gate, couriway-gate, ambrette-gate, lumiose-gate, shalour-gate, coumarine-gate, laverre-gate, anistar-gate, snowbelle-gate, glittering-cave, connecting-cave, zubat-roost, kalos-power-plant, team-flare-secret-hq, terminus-cave, lost-hotel, chamber-of-emptiness, sea-spirits-den, friend-safari, blazing-chamber, flood-chamber, ironworks-chamber, dragonmark-chamber, radiant-chamber, pokemon-league-gate, lumiose-station, kiloude-station, ambrette-aquarium, unknown-dungeon, roaming-kalos",generation-vi,"kalos-central, kalos-coastal, kalos-mountain"
7,alola,"alola-route-1--hauoli-outskirts, alola-route-1, alola-route-3, alola-route-2, kalae-bay, melemele-sea, hauoli-city--beachfront, hauoli-city--shopping-district, hauoli-city--marina, iki-town, mahalo-trail, mahalo-trail--plank-bridge, ruins-of-conflict, ten-carat-hill, ten-carat-hill--farthest-hollow, hauoli-cemetery, melemele-meadow, seaward-cave, berry-fields, verdant-cavern--trial-site, verdant-cavern--totems-den, alola-route-4, alola-route-5, alola-route-6, alola-route-7, alola-route-8, alola-route-9, hano-grand-resort, hano-beach, akala-meadow, paniola-town, heahea-city, konikoni-city, royal-avenue, memorial-hill, paniola-ranch, wela-volcano-park, wela-volcano-park--totems-den, brooklet-hill, brooklet-hill--totems-den, lush-jungle, ruins-of-life, akala-outskirts, digletts-tunnel, battle-royal-dome, alola-route-10, alola-route-11, secluded-shore, alola-route-13, tapu-village, alola-route-15, alola-route-16, alola-route-17, alola-route-12, haina-desert, alola-route-14, ulaula-meadow, po-town, malie-city-proper, malie-garden, mount-hokulani, blush-mountain, ruins-of-abundance, lake-of-the-sunne, lake-of-the-moone, mount-lanakila, shady-house, thrifty-megamart--abandoned-site, hokulani-observatory, alola-pokemon-league, poni-meadow, poni-wilds, ancient-poni-path, poni-breaker-coast, poni-grove, poni-plains, poni-coast, poni-gauntlet, seafolk-village, vast-poni-canyon, altar-of-the-sunne, altar-of-the-moone, ruins-of-hope, resolution-cave, exeggutor-island, battle-tree, aether-paradise, ultra-space, malie-city--outer-cape, hauoli-city, verdant-cavern, thrifty-megamart, malie-city, dividing-peak-tunnel, heahea-beach, sandy-cave, ulaula-beach, ultra-megalopolis, ultra-space-wilds, poke-pelago, team-rockets-castle",generation-vii,"original-alola, original-melemele, original-akala, original-ulaula, original-poni, updated-alola, updated-melemele, updated-akala, updated-ulaula, updated-poni"
8,galar,"galar-route-1, galar-route-2, galar-route-3, galar-route-4, galar-route-5, galar-route-6, galar-route-7, galar-route-8, galar-route-9, galar-route-10, axews-eye, ballimere-lake, ballonlea, battle-tower, brawlers-cave, bridge-field, challenge-beach, challenge-road, circhester, courageous-cavern, crown-shrine, dappled-grove, dusty-bowl, dyna-tree-hill, east-lake-axewell, fields-of-honor, forest-of-focus, freezington, frigid-sea, frostpoint-field, galar-mine, galar-mine-no-2, giants-bed, giants-foot, giants-mirror, giants-seat, glimwood-tangle, hammerlocke, hammerlocke-hills, honeycalm-island, honeycalm-sea, hulbury, galar-iceberg-ruins, insular-sea, galar-iron-ruins, lake-of-outrage, lakeside-cave, loop-lagoon, master-dojo, max-lair, motostoke, motostoke-outskirts, motostoke-riverbank, north-lake-miloch, old-cemetery, path-to-the-peak, postwick, potbottom-desert, roaring-sea-caves, galar-rock-peak-ruins, rolling-fields, slippery-slope, slumbering-weald, snowslide-slope, soothing-wetlands, south-lake-miloch, spikemuth, split-decision-ruins, steamdrift-way, stepping-stone-sea, stony-wilderness, stow-on-side, three-point-pass, tower-of-darkness, tower-of-waters, training-lowlands, tunnel-to-the-top, turffield, warm-up-tunnel, watchtower-ruins, wedgehurst, west-lake-axewell, workout-sea, wyndon, giants-cap",generation-viii,"galar, isle-of-armor, crown-tundra"
9,hisui,"aipom-hill, ancient-quarry, arenas-approach, aspiration-hill, avalanche-slopes, avaluggs-legacy, bathers-lagoon, bolderoll-ravine, bolderoll-slope, bonechill-wastes, brava-arena, castaway-shore, celestica-ruins, celestica-trail, clamberclaw-cliffs, cloudcap-pass, cloudpool-ridge, coastlands-camp, cottonsedge-prairie, crossing-slope, deadwood-haunt, deertrack-heights, deertrack-path, diamond-heath, diamond-settlement, droning-meadow, fabled-spring, firespit-island, floaro-gardens, gapejaw-bog, ginkgo-landing, glacier-terrace, golden-lowlands, grandtree-arena, grueling-grove, hearts-crag, heavenward-lookout, heights-camp, hideaway-bay, holm-of-trials, horseshoe-plains, ice-column-chamber, icebound-falls, icepeak-arena, icepeak-cavern, islespy-shore, jubilife-village, hisui-lake-acuity, hisui-lake-valor, hisui-lake-verity, lonely-spring, lunkers-lair, molten-arena, moonview-arena, natures-pantry, obsidian-falls, oreburrow-tunnel, pearl-settlement, primeval-grotto, ramanas-island, sacred-plaza, sands-reach, sandgem-flats, scarlet-bog, seagrass-haven, seaside-hollow, shrouded-ruins, sludge-mound, snowfall-hot-spring, hisui-snowpoint-temple, hisui-solaceon-ruins, sonorous-path, space-time-distortion, hisui-spring-path, stonetooth-rows, temple-of-sinnoh, the-heartwood, tidewater-dam, tombolo-walk, tranquility-cove, hisui-turnback-cave, ursas-ring, veilstone-cape, hisui-wayward-cave, wayward-wood, whiteout-valley, windbreak-stand, windswept-run, worn-bridge",,hisui
10,paldea,"cabo-poco, los-platos, mesagoza, cortondo, alfornada, pokemon-league, artazon, levincia, zapapico, cascarrafa, porto-marinada, medali, montenevera, paldea-south-province-area-one, paldea-south-province-area-two, paldea-south-province-area-three, paldea-south-province-area-four, paldea-south-province-area-five, paldea-south-province-area-six, south-paldean-sea, poco-path, inlet-grotto, naranja-academy, alfornada-cavern, grasswither-shrine, paldea-east-province-area-one, paldea-east-province-area-two, paldea-east-province-area-three, east-paldean-sea, tagtree-thicket, schedar-squads-base, navi-squads-base, paldea-west-province-area-one, paldea-west-province-area-two, paldea-west-province-area-three, asado-desert, west-paldean-sea, segin-squads-base, icerend-shrine, paldea-north-province-area-one, paldea-north-province-area-two, paldea-north-province-area-three, casseroya-lake, dalizapa-passage, glaseado-mountain, socarrat-trail, groundblight-shrine, firescourge-shrine, north-paldean-sea, ruchbah-squads-base, caph-squads-base, area-zero, zero-lab, uva-academy, apple-hills, chilling-waterhead, crystal-pool, dreaded-den, fellhorn-gorge, infernal-pass, kitakami-hall, kitakami-road, kitakami-wilds, loyalty-plaza, mossfell-confluence, mossui-town, oni-mountain, onis-maw, paradise-barrens, revelers-road, timeless-woods, wistful-fields, canyon-biome, canyon-plaza, central-plaza, chargestone-cavern, coastal-biome, coastal-plaza, league-club-room, polar-biome, polar-plaza, savanna-biome, savanna-plaza, torchlit-labyrinth",generation-ix,"paldea, kitakami, blueberry"
